Date,Open,High,Low,Close,Volume
2025-02-10,114.5999984741211,115.9800033569336,109.2300033569336,110.29000091552734,1540100
2025-02-11,110.5,111.06999969482422,108.41999816894531,108.83999633789062,1695200
2025-02-12,107.1500015258789,111.5199966430664,106.79000091552734,110.6500015258789,2931800
2025-02-13,120.2300033569336,123.0,102.5,114.44000244140625,4893200
2025-02-14,113.87000274658203,115.43000030517578,108.76599884033203,110.30999755859375,1578200
2025-02-18,110.51000213623047,110.8550033569336,107.45999908447266,110.08000183105469,1129200
2025-02-19,108.98999786376953,112.4000015258789,108.25499725341797,112.1500015258789,874800
2025-02-20,111.63999938964844,112.33699798583984,108.79000091552734,110.86000061035156,1021300
2025-02-21,112.29000091552734,113.87999725341797,102.87999725341797,102.88999938964844,1832000
2025-02-24,103.68000030517578,105.19000244140625,102.23500061035156,102.69999694824219,1164800
2025-02-25,102.76000213623047,105.5199966430664,101.73999786376953,104.66999816894531,839000
2025-02-26,106.06500244140625,109.30999755859375,105.30000305175781,105.93000030517578,1146500
2025-02-27,106.9000015258789,107.29000091552734,103.36000061035156,103.44000244140625,918700
2025-02-28,103.4000015258789,105.3499984741211,101.83000183105469,105.08999633789062,768200
2025-03-03,105.69999694824219,106.16000366210938,98.94000244140625,99.30999755859375,1087900
2025-03-04,97.5,98.0199966430664,94.16999816894531,94.44999694824219,1719200
2025-03-05,95.0199966430664,96.5999984741211,94.97000122070312,96.30999755859375,1282000
2025-03-06,93.36000061035156,95.0,90.25,90.91000366210938,1049900
2025-03-07,90.29000091552734,90.98999786376953,83.6500015258789,90.6500015258789,2686600
2025-03-10,87.56500244140625,87.98999786376953,85.0999984741211,86.6500015258789,2235900
2025-03-11,87.38999938964844,89.97000122070312,85.5,89.06999969482422,2149900
2025-03-12,91.88999938964844,92.80999755859375,88.91999816894531,91.11000061035156,1826200
2025-03-13,90.16000366210938,91.0,86.63999938964844,86.95999908447266,1859500
2025-03-14,87.5,88.7699966430664,86.80000305175781,88.2699966430664,1563200
2025-03-17,87.0,90.29000091552734,85.6500015258789,90.0199966430664,1412300
2025-03-18,88.93000030517578,89.34500122070312,86.06999969482422,86.83000183105469,876500
2025-03-19,86.55999755859375,90.56999969482422,86.52999877929688,90.26000213623047,1390400
2025-03-20,90.29000091552734,92.79000091552734,88.9800033569336,89.4000015258789,1615500
2025-03-21,88.31999969482422,89.44999694824219,86.79000091552734,87.94999694824219,1396900
2025-03-24,90.4800033569336,93.2699966430664,89.0999984741211,92.0999984741211,1937500
2025-03-25,92.6500015258789,93.63300323486328,90.58999633789062,91.58000183105469,907000
