Date,Open,High,Low,Close,Volume
2025-02-13,249.1699981689453,251.83999633789062,247.35000610351562,250.97000122070312,2279800
2025-02-14,251.49000549316406,253.1999969482422,249.10000610351562,249.22000122070312,1696300
2025-02-18,250.0,251.77999877929688,248.44000244140625,251.1699981689453,1709300
2025-02-19,249.64999389648438,250.25999450683594,244.39999389648438,247.05999755859375,2488500
2025-02-20,246.5800018310547,247.72999572753906,245.33999633789062,247.64999389648438,1425400
2025-02-21,246.77000427246094,247.74000549316406,241.80999755859375,245.5500030517578,3292500
2025-02-24,245.24000549316406,246.0,242.22000122070312,242.3300018310547,5576700
2025-02-25,242.88999938964844,246.86000061035156,242.77000427246094,245.88999938964844,2911600
2025-02-26,245.92999267578125,247.9600067138672,244.77999877929688,245.47999572753906,2477000
2025-02-27,244.99000549316406,247.3000030517578,243.77000427246094,245.07000732421875,3012400
2025-02-28,244.9199981689453,247.11000061035156,242.49000549316406,246.69000244140625,3252600
2025-03-03,248.33999633789062,249.6999969482422,243.77000427246094,245.80999755859375,2218000
2025-03-04,243.6699981689453,244.02000427246094,240.85000610351562,241.52000427246094,3037800
2025-03-05,241.82000732421875,245.0500030517578,241.19000244140625,243.61000061035156,3051700
2025-03-06,243.3000030517578,245.47999572753906,241.85000610351562,245.27000427246094,2311100
2025-03-07,246.08999633789062,250.3300018310547,244.9600067138672,249.30999755859375,2835800
2025-03-10,247.6199951171875,251.25999450683594,246.1199951171875,248.2899932861328,2420700
2025-03-11,247.4499969482422,248.08999633789062,237.42999267578125,237.77999877929688,3357900
2025-03-12,236.69000244140625,238.39999389648438,234.02000427246094,237.49000549316406,1927500
2025-03-13,237.14999389648438,238.08999633789062,233.52000427246094,234.2899932861328,2399900
2025-03-14,235.63999938964844,237.74000549316406,234.91000366210938,237.52999877929688,2116800
2025-03-17,237.4600067138672,239.50999450683594,235.97000122070312,237.86000061035156,2139000
2025-03-18,238.47999572753906,240.0,235.52999877929688,237.08999633789062,2184200
2025-03-19,237.00999450683594,238.1300048828125,234.89999389648438,236.38999938964844,2058300
2025-03-20,234.27999877929688,235.94000244140625,233.25999450683594,234.7899932861328,2869500
2025-03-21,233.0800018310547,234.25,231.33999633789062,233.8800048828125,4167700
2025-03-24,236.9600067138672,237.8300018310547,233.8800048828125,235.1999969482422,3291100
2025-03-25,235.1999969482422,236.5399932861328,234.33999633789062,235.7899932861328,1849000
2025-03-26,235.86000061035156,238.75,235.69000244140625,238.02999877929688,1709900
2025-03-27,238.3300018310547,238.3300018310547,234.66000366210938,235.97000122070312,1913900
2025-03-28,235.61000061035156,236.6999969482422,232.00999450683594,232.14999389648438,1918000
2025-03-31,230.55999755859375,238.10000610351562,230.27999877929688,236.24000549316406,3478100
2025-04-01,234.66000366210938,237.6699981689453,233.83999633789062,237.1699981689453,2367300
2025-04-02,235.13999938964844,238.50999450683594,234.61000061035156,238.4600067138672,2023600
2025-04-03,231.35000610351562,232.97999572753906,223.0800018310547,223.97000122070312,5754800
2025-04-04,220.0,221.75,212.5500030517578,213.25999450683594,6784500
2025-04-07,211.11000061035156,216.24000549316406,204.7899932861328,209.97000122070312,5055900
2025-04-08,217.52999877929688,217.72999572753906,204.66000366210938,208.27000427246094,5126200
2025-04-09,206.6199951171875,224.6999969482422,206.3800048828125,223.52999877929688,5361000
2025-04-10,221.3800048828125,221.69000244140625,214.1999969482422,219.32000732421875,5088800
2025-04-11,218.75999450683594,220.27000427246094,215.10000610351562,218.58999633789062,2965000
2025-04-14,221.14999389648438,223.27000427246094,219.2899932861328,222.27000427246094,3197700
2025-04-15,222.7899932861328,224.30999755859375,219.58999633789062,220.0800018310547,2807000
2025-04-16,219.6999969482422,220.5399932861328,215.41000366210938,216.60000610351562,3293600
2025-04-17,217.5,222.24000549316406,217.3000030517578,220.25999450683594,4545800
2025-04-21,218.16000366210938,218.97999572753906,213.36000061035156,216.0500030517578,3379600
2025-04-22,218.02999877929688,218.6199951171875,214.9600067138672,216.89999389648438,3353300
2025-04-23,221.30999755859375,224.5800018310547,218.3300018310547,219.77999877929688,3879500
2025-04-24,208.25,215.8300018310547,206.6300048828125,215.4499969482422,5205100
2025-04-25,214.0,214.75999450683594,211.57000732421875,213.2899932861328,3454900
2025-04-28,213.05999755859375,214.6999969482422,210.8000030517578,212.61000061035156,3053300
2025-04-29,211.2899932861328,214.9600067138672,211.2899932861328,214.5399932861328,2886400
2025-04-30,213.47000122070312,215.97999572753906,210.52999877929688,215.66000366210938,3139100
2025-05-01,215.5,215.5,212.57000732421875,214.0800018310547,4458500
2025-05-02,216.82000732421875,219.61000061035156,215.83999633789062,218.2899932861328,2926800
2025-05-05,216.8000030517578,218.7899932861328,216.25999450683594,216.52999877929688,1895600
2025-05-06,214.75999450683594,216.22000122070312,213.0,213.1999969482422,2265100
2025-05-07,213.74000549316406,214.91000366210938,212.6999969482422,213.85000610351562,3277100
2025-05-08,214.91000366210938,218.9199981689453,213.8699951171875,216.83999633789062,3335500
2025-05-09,216.74000549316406,217.72000122070312,215.1199951171875,216.32000732421875,2172900
2025-05-12,227.05999755859375,231.5399932861328,226.52000427246094,230.8699951171875,4965900
2025-05-13,231.00999450683594,231.99000549316406,228.0399932861328,228.25,3028100
2025-05-14,227.33999633789062,228.75999450683594,223.13999938964844,228.33999633789062,3253000
2025-05-15,229.25,231.4499969482422,227.69000244140625,230.85000610351562,2607600
2025-05-16,231.3300018310547,231.97000122070312,230.1199951171875,231.4199981689453,2006800
2025-05-19,229.0800018310547,230.07000732421875,228.16000366210938,229.5,2509400
2025-05-20,228.64999389648438,229.88999938964844,227.80999755859375,228.3300018310547,1982900
2025-05-21,225.6300048828125,226.88999938964844,223.47999572753906,223.6199951171875,2183600
2025-05-22,223.36000061035156,224.35000610351562,221.92999267578125,222.8699951171875,2848900
2025-05-23,220.1199951171875,223.00999450683594,220.00999450683594,222.11000061035156,3227900
2025-05-27,223.66000366210938,224.9600067138672,222.74000549316406,224.35000610351562,2613300
2025-05-28,225.0,225.4499969482422,221.9600067138672,222.17999267578125,3073200
2025-05-29,222.44000244140625,223.58999633789062,219.77000427246094,222.50999450683594,2980600
2025-05-30,220.9199981689453,222.57000732421875,220.3000030517578,221.66000366210938,4179600
2025-06-02,218.77999877929688,220.0,217.38999938964844,218.88999938964844,4587000
2025-06-03,217.83999633789062,222.3699951171875,217.55999755859375,221.77999877929688,6229300
2025-06-04,221.85000610351562,222.1699981689453,219.36000061035156,220.8699951171875,3976800
2025-06-05,220.9499969482422,221.75999450683594,219.39999389648438,220.64999389648438,3084600
2025-06-06,222.97000122070312,224.16000366210938,222.14999389648438,223.42999267578125,2953400
2025-06-09,223.97000122070312,225.25999450683594,223.25,224.13999938964844,3128500
2025-06-10,224.5,229.1999969482422,223.36000061035156,226.60000610351562,3122200
2025-06-11,227.02000427246094,227.02000427246094,224.6300048828125,225.72000122070312,2655100
2025-06-12,224.57000732421875,225.49000549316406,223.50999450683594,225.49000549316406,1939200
2025-06-13,223.67999267578125,225.47000122070312,222.77000427246094,223.3699951171875,1670100
2025-06-16,224.0399932861328,226.19000244140625,223.77000427246094,224.64999389648438,2659500
2025-06-17,223.77000427246094,224.00999450683594,219.64999389648438,220.58999633789062,2767900
2025-06-18,220.97999572753906,222.13999938964844,220.25,222.00999450683594,2414500
2025-06-20,222.61000061035156,223.77999877929688,221.2100067138672,222.50999450683594,4274300
2025-06-23,222.42999267578125,225.97000122070312,221.82000732421875,225.8800048828125,2665300
2025-06-24,227.5500030517578,228.02999877929688,225.83999633789062,227.91000366210938,2777100
2025-06-25,226.91000366210938,227.0,225.47000122070312,226.80999755859375,2005400
